feedback,issue,distance,76/150,,,,,27/50,,feedback,issue,distance,55/100,,,,result,distance,Appproach,,,Matching Bug report,Sentence MiniLM nouns & verbs,Matching Bug report,Sentence MiniLM,,,result,NEXTCLLOUD,FIREFOX,
App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,Nextcloud use much battery with out auto upload activate...,0.54471236,1,14,,"The Photos section shows ""loading"" for more than 5 minutes every single time i open it, while on the webinterface the pictures show immediately using the same internet connection. It then shows every photo two times, this also does not happen on the webinterface.  The ""all files"" section even managed to show a whole bunch of pics in the wrong folder (in the root folder while they should have been in a subfolder) once, prompting me to delete them. Later i noticed my desktop pc syncing those very same pictures, which this bug-ridden app had deleted from their subfolder, where they apparently had been all the time. Other sections like ""shared"" show an endless ""loading"" sometimes until i manually refresh them. Sometimes they happen to work instantly and then show ""loading"" for infinity when i refresh them. I have reinstalled the app several times. I will have to use the webinterface which works very fast and flawlessly on chrome and firefox mobile browsers.",Photos: weird loading,1,,This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,Moving files android app,0.4904355,0,,,,TRUE,0.781927,Sentence MiniLM nouns & verbs,,,TRUE,0.5929771,TRUE,0.739368,,,TRUE,0.7609036,0.6682975,TRUE
Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Nextcloud Android app Crashes after logging in,0.5871558,0,,,"Good app, but instant upload reports failed because of connectivity issues (on wifi) .   Would report the issue but can not find your Bugzilla.  Keep up the great work.",instant upload fails,1,,application crashes on clicking Log In,App does not not log in on Android or crashes,0.7235426,1,,,,TRUE,0.7766095,Sentence MiniLM nouns & verbs,,,TRUE,0.5887288,TRUE,0.72019637,,,TRUE,0.739368,0.59616315,FALSE
Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Nextcloud keep asking account password,0.54336643,1,,,"Keeps forgetting the account data. Then tries to auto-upload and fails, but keeps trying, burning battery. Use the account service, for crying out loud.",Auto Upload stays active even after account removal on device,1,,application crashes on clicking Log In,app crashes while syncinc,0.667723,1,,,,TRUE,0.7685081,Sentence MiniLM nouns & verbs,,,TRUE,0.766583,TRUE,0.8452252,,,TRUE,0.84195715,0.61894965,TRUE
Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Share from other apps to nextcloud app does not do anything,0.49971816,0,15,,"The app is very user friendly. However, it has some bugs. Auto Upload doesn't not work. Fails to upload any files from selected folder.",auto upload: files not visible within app before uploaded,0,,"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.",Can not connect to server: Unknown error occurred!,0.6264973,1,,,,TRUE,0.55973446,Sentence MiniLM nouns & verbs,,,TRUE,0.7309682,TRUE,0.8145719,,,TRUE,0.7826807,0.58203214,FALSE
"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.",folder rename on server not visible in the device,0.52794176,0,,,"App is nice for data sync. If you are using a version of the app that works, I strongly recommend disabling auto update to prevent the app from breaking as just happened with v3.0.0 in Feb 2018",nextcloud Android app crashing when sync a big folder (10Gb),0,,"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.",unable to connect to the server,0.600837,1,,,,TRUE,0.8739077,Sentence MiniLM nouns & verbs,,,TRUE,0.7263975,TRUE,0.8103316,,,TRUE,0.77381235,0.5672321,TRUE
"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.",sync crashes if file is added to media dir by other app,0.50700927,0,,,"Absolutely full of bugs. Tries to upload even when I've turned off all sync rules and force stopped the app. Certain actions will trigger it to open again and trying to sync. Crashes sometimes, slows down and becomes unresponsive. Also no ability to tell it to sync only on certain Wifi networks (not any Wifi network).",Android app crashes during sync,0,,Where has the fingerprint access gone?,"The ""Device credentials"" feature doesn't work with fingerprints",0.5528239,0,,,,TRUE,0.7763267,Sentence MiniLM nouns & verbs,,,TRUE,0.6634486,TRUE,0.7304056,,,TRUE,0.8452252,0.59819627,FALSE
"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.",Syncing Pre-Existing Files Causes Re-upload and Download,0.49811485,0,16,,"Great & working app. There have been a lot's of improvements and stabilisation. Though, the main feature I use is the (camera) auto upload and there are still holes in the raquette. Indeed sometimes it misses pics. It results in part of the pics only being uploaded. I don't see them in the errors and no way to trigger again the autoupload. An rsync like feature would be handy in such case to be fail safe.",(Auto sync) The pictures aren't uploaded when not on wifi,0,,Where has the fingerprint access gone?,Fingerprint unlock,0.44291872,0,,,,TRUE,0.7643983,Sentence MiniLM nouns & verbs,,,TRUE,0.6564607,TRUE,0.6788515,,,TRUE,0.8145719,0.5967582,TRUE
"Can not login, after i enter my password i keep looping back to the login menu",Stuck in login loop,0.6408295,1,,,"Good app overall but auto upload still doesn't work. Sony Xperia Z5 on Android 7. Even with auto upload turned on, settings and folders selected, nothing happens when I take a photo. Keep trying :-)",Auto upload doesn't work on Android for already uploaded photos.,1,,"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Auto upload doesn't work on Android for already uploaded photos.,0.5929771,1,,,,TRUE,0.6851165,Sentence MiniLM nouns & verbs,,,TRUE,0.63834196,TRUE,0.6402095,,,TRUE,0.8103316,0.5832705,FALSE
"Can not login, after i enter my password i keep looping back to the login menu",Login loop,0.63138616,1,,,"After downloaded it, I've trying to login in, it's prompt me enter URL, password and account, but all I can do is just enter URL, after enter URL, it said wrong account and password, but nothing I can do to enter both...","Tried to log in, got this error",0,,"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Bug by auto uploading files from smartphone,0.5887288,1,,,,TRUE,0.6806219,Sentence MiniLM nouns & verbs,,,TRUE,0.5897689,TRUE,0.66978586,,,TRUE,0.760238,0.7035055,TRUE
"Can not login, after i enter my password i keep looping back to the login menu",Update to 3.7.2 causes login loop,0.62646717,1,17,,Works on all of my devices except for this tablet. Can't get it past am initial login and refresh of an account and it never wants to clear out old data. Not happy. Works better through my web browser.,Auto Upload stays active even after account removal on device,0,,The app keeps crashing. I can't upload photos because of this. Please fix the problem.,app crashes when uploading a bunch of pics,0.766583,1,,,,TRUE,0.6659283,Sentence MiniLM nouns & verbs,,,TRUE,0.57338774,TRUE,0.65330976,,,TRUE,0.7304056,0.70041215,FALSE
"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...",Sync folder fails on sd card,0.56617516,1,,,"Not working for me, I can log, manual upload but if I want tu upload more then 10 photos, after a few stops uploading them. Auto upload is not working as well. I disable battery performance, I added all the permissions, etc. I am on android 9.",Auto upload doesn't work on Android for already uploaded photos.,0,,The app keeps crashing. I can't upload photos because of this. Please fix the problem.,"app crash while viewing photos, out of memory error",0.7309682,1,,,,TRUE,0.6845327,Sentence MiniLM nouns & verbs,,,TRUE,0.5533695,TRUE,0.7129253,,,TRUE,0.7177701,0.6826154,TRUE
"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...",Uploading files from SD card simply does not work,0.5617562,1,,,"Auto Upload hasn't worked in quite some time.  Even manually moving files to the InstantShared folders has no effect.  Those files aren't even viewable in the app, but are seen there by a file manager.  Would be nice if that was fixed.  Great overall platform though.",auto upload: files not visible within app before uploaded,1,,"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.",Next cloud app crash,0.6634486,1,,,,TRUE,0.7609036,Sentence MiniLM nouns & verbs,,,TRUE,0.6054522,TRUE,0.70081913,,,TRUE,0.6788515,0.58296096,TRUE
"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...",1.4.2 Video upload folder destination incorrect ,0.5511332,0,18,,Used to work great now you it just crashes every time you try to log on,"Just start from PlayMarket try login, crash",1,,"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.",Nextcloud app crash,0.6564607,1,,,,TRUE,0.739368,Sentence MiniLM nouns & verbs,,,TRUE,0.5562403,TRUE,0.7112875,,,TRUE,0.65706676,0.5779152,FALSE
Auto uploads no longer work. App just freezes on s8+,Existing files auto upload freezes app,0.64005697,1,,,"even when disabling ALL automatic uploads, it still tries to upload files.",Existing files auto upload freezes app,0,,"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",Auto Upload view shows files in Nextcloud temporary storage,0.5657696,0,,,,TRUE,0.84195715,Sentence MiniLM nouns & verbs,,,TRUE,0.5678605,TRUE,0.7014059,,,TRUE,0.7554052,0.59301883,TRUE
Auto uploads no longer work. App just freezes on s8+,Android - Auto Upload STILL not working after 1.5 Years!!!,0.624732,1,,,"Nice, getting better with every version. Auto upload still not totally reliable. A good feature would be implementing file details with metadata support (the kind of details that the Metadata app is providing on the web UI, like EXIF - not sure if it's possible to get the information via that App when it is installed?).",auto upload: files not visible within app before uploaded,0,,"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",Upload not working with nextcloud in subdir,0.5575518,0,,,,TRUE,0.7826807,Sentence MiniLM nouns & verbs,,,TRUE,0.63083166,TRUE,0.6958446,,,TRUE,0.65159696,0.6366511,TRUE
Auto uploads no longer work. App just freezes on s8+,"""Auto upload"" works after start app manualy",0.61249375,0,19,,0,,,,Man I love nextcloud but good God this app sucks. Constant crashes clicking photos in the menu doesn't show photos instead its constantly loads or crashes. I'd be willing to pay a few dollars a year for some good work on this app. I think most people would agree. This app needs alot of work. Limited organization with only favorites working. No tags in this app. Don't expect a fun easy browsing experience here.,Nextcloud app broke when click Photo Album,0.5897689,1,,,,TRUE,0.77381235,Sentence MiniLM nouns & verbs,,,TRUE,0.5393858,TRUE,0.68401974,,,TRUE,0.63719904,0.5401304,FALSE
This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,(Auto sync) The pictures aren't uploaded when not on wifi,0.5440371,0,,,,,,,Man I love nextcloud but good God this app sucks. Constant crashes clicking photos in the menu doesn't show photos instead its constantly loads or crashes. I'd be willing to pay a few dollars a year for some good work on this app. I think most people would agree. This app needs alot of work. Limited organization with only favorites working. No tags in this app. Don't expect a fun easy browsing experience here.,Nextcloud app crash,0.57338774,1,,,,TRUE,0.8452252,Sentence MiniLM nouns & verbs,,,TRUE,0.528077,TRUE,0.6854156,,,TRUE,0.5991374,0.51728034,FALSE
This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,Moving files android app,0.4904355,0,,,,,,,new update has broken auto upload. all that happens is I get an error about local storage being full!!! EDIT: Thanks for responding. I have 128gb local storage and a 512gb sd card which is where my pictures are saved to. I'm only using 30gb or so on local storage currently so I should have the space for any images/videos I take. I try to keep at least 10gb of local storage free at any one time for things like updates so I'd have thought that would be more than enough as I mostly take pictures.,Auto upload not working - not enough space ,0.6054522,1,,,,TRUE,0.8145719,Sentence MiniLM nouns & verbs,,,TRUE,0.6909273,TRUE,0.56971097,,,TRUE,0.7112875,0.68755776,FALSE
This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,Synchronize images/videos to proper Android folders,0.4637669,0,20,,,,,,new update has broken auto upload. all that happens is I get an error about local storage being full!!! EDIT: Thanks for responding. I have 128gb local storage and a 512gb sd card which is where my pictures are saved to. I'm only using 30gb or so on local storage currently so I should have the space for any images/videos I take. I try to keep at least 10gb of local storage free at any one time for things like updates so I'd have thought that would be more than enough as I mostly take pictures.,Upload complains on missing storage space,0.5562403,1,,,,TRUE,0.8103316,Sentence MiniLM nouns & verbs,,,TRUE,0.6834008,TRUE,0.739503,,,TRUE,0.7014059,0.66321003,TRUE
application crashes on clicking Log In,App does not not log in on Android or crashes,0.7235426,1,,,,,,,"Really good and useful app. Auto upload works great, even when offline it will retry and upload as soon as you're connected (you'll still get an error, ignore it). I use it with the ""move to nextcloud folder"" option, so I know what's been uploaded. My issues with it: (1) auto-upload won't upload existing pics (many reports on this) (3) useless and stupid slow photos tab (4) multiple selection is one by one only (5) no bidirectional folder sync option. Still, pros outweigh the cons, recommended",(Auto sync) The pictures aren't uploaded when not on wifi,0.56398016,0,,,,TRUE,0.6788515,Sentence MiniLM nouns & verbs,,,TRUE,0.6829928,TRUE,0.6413735,,,TRUE,0.6958446,0.63707435,TRUE
application crashes on clicking Log In,app crashes while syncinc,0.667723,1,,,,,,,"Really good and useful app. Auto upload works great, even when offline it will retry and upload as soon as you're connected (you'll still get an error, ignore it). I use it with the ""move to nextcloud folder"" option, so I know what's been uploaded. My issues with it: (1) auto-upload won't upload existing pics (many reports on this) (3) useless and stupid slow photos tab (4) multiple selection is one by one only (5) no bidirectional folder sync option. Still, pros outweigh the cons, recommended",auto upload: files not visible within app before uploaded,0.5634157,0,,,,TRUE,0.65706676,Sentence MiniLM nouns & verbs,,,TRUE,0.59226084,TRUE,0.63403094,,,TRUE,0.80509484,0.6016784,TRUE
application crashes on clicking Log In,app crash,0.6652187,1,21,,,,,,After the latest update 3.0.1 my nextcloud could not find host? Please fix it.,Can not use nextcloud,0.65200573,0,,,,TRUE,0.6402095,Sentence MiniLM nouns & verbs,,,TRUE,0.5827657,TRUE,0.6372646,,,TRUE,0.68401974,0.55931026,TRUE
"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.",Can not connect to server: Unknown error occurred!,0.6264973,1,,,,,,,After the latest update 3.0.1 my nextcloud could not find host? Please fix it.,Nextcloud server is not configured during upload,0.58821094,0,,,,TRUE,0.65330976,Sentence MiniLM nouns & verbs,,,TRUE,0.5653759,TRUE,0.68996704,,,TRUE,0.6728138,0.5360559,TRUE
"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.",unable to connect to the server,0.600837,1,,,,,,,"Still broken. Random crashes, wrong items being show in some of the screens, the photos section never shows up correctly... Unreliable app feels really buggy and not robust at all. IOS version feels a bit more finished ... This one is an alpha",Android Mobile app crash in photos section,0.63083166,1,,,,TRUE,0.8453341,Sentence MiniLM nouns & verbs,,,TRUE,0.6387133,TRUE,0.66944015,,,TRUE,0.6854156,0.6642314,TRUE
"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.",Can't connect to server,0.5830168,1,22,,,,,,"Still broken. Random crashes, wrong items being show in some of the screens, the photos section never shows up correctly... Unreliable app feels really buggy and not robust at all. IOS version feels a bit more finished ... This one is an alpha",app crashed,0.5393858,1,,,,TRUE,0.65159696,Sentence MiniLM nouns & verbs,,,TRUE,0.6245025,TRUE,0.6096198,,,TRUE,0.739503,0.65839607,TRUE
Where has the fingerprint access gone?,"The ""Device credentials"" feature doesn't work with fingerprints",0.5528239,0,,,,,,,"Nextcloud as a service is amazing, but this mobile client is not so much. The interface is rather unstable and I encounter crashes or bugs while moving from image preview to image preview. I actually have no issues with auto upload, but sync leaves a bit to be desired; you can't configure the location of syncs. Every sync will land in a single directory, which is inconvenient.",Nextcloud does not sync some files over mobile network after allowing to sync over mobile network,0.59549034,0,,,,TRUE,0.63719904,Sentence MiniLM nouns & verbs,,,TRUE,0.60223484,TRUE,0.7286235,,,TRUE,0.6878835,0.6565353,FALSE
Where has the fingerprint access gone?,Fingerprint unlock,0.44291872,0,,,,,,,"Nextcloud as a service is amazing, but this mobile client is not so much. The interface is rather unstable and I encounter crashes or bugs while moving from image preview to image preview. I actually have no issues with auto upload, but sync leaves a bit to be desired; you can't configure the location of syncs. Every sync will land in a single directory, which is inconvenient.",nextcloud android application crashed when downloading files from server,0.53414315,,,,,TRUE,0.7112875,Sentence MiniLM nouns & verbs,,,TRUE,0.5792202,TRUE,0.71145284,,,TRUE,0.6020204,0.6507261,TRUE
Where has the fingerprint access gone?,Screenshots forbidden if app protection (fingerprint / pin) is enabled,0.40313986,0,23,,,,,,Was great. Now crashes every 30 seconds and takes me out of whatever app I was in.,Nextcloud andriod app keeps crashing,0.6909273,1,,,,TRUE,0.7014059,Sentence MiniLM nouns & verbs,,,TRUE,0.5397458,TRUE,0.6948918,,,TRUE,0.6413735,0.6792899,FALSE
"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Auto upload doesn't work on Android for already uploaded photos.,0.5929771,1,,,,,,,Was great. Now crashes every 30 seconds and takes me out of whatever app I was in.,app crash,0.6834008,1,,,,TRUE,0.80509484,Sentence MiniLM nouns & verbs,,,TRUE,0.52400684,TRUE,0.5399862,,,TRUE,0.63403094,0.6465134,TRUE
"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Bug by auto uploading files from smartphone,0.5887288,1,,,,,,,"After repeatedly reporting the issue, it still does not auto-upload my photos unless I manually take the phone out of medium power-saving mode (suicide for any Galaxy S8 owner).",Auto upload doesn't work on Android for already uploaded photos.,0.59226084,1,,,,TRUE,0.6728138,Sentence MiniLM nouns & verbs,,,TRUE,0.6130793,TRUE,0.53490406,,,TRUE,0.6436924,0.6581285,TRUE
"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",auto upload: files not visible within app before uploaded,0.5811641,0,24,,,,,,"After repeatedly reporting the issue, it still does not auto-upload my photos unless I manually take the phone out of medium power-saving mode (suicide for any Galaxy S8 owner).",Auto-Upload issue: Photos taken are not uploaded when no network traffic possible at create time of photos,0.5827657,1,,,,TRUE,0.72204024,Sentence MiniLM nouns & verbs,,,TRUE,0.6050016,TRUE,0.531543,,,TRUE,0.63760376,0.5976836,TRUE
The app keeps crashing. I can't upload photos because of this. Please fix the problem.,app crashes when uploading a bunch of pics,0.766583,1,,,,,,,"Hello, Autoupload doesn't work. I manually created folder on the server using web browser, and checked in the app to create year folder and month. It gives ""connection error"" in uploads queue. So the app is almost useless for me",trying create own auto upload with new directory on server,0.6552788,0,,,,TRUE,0.7174633,Sentence MiniLM nouns & verbs,,,TRUE,0.6422049,TRUE,0.81269884,,,TRUE,0.6477152,0.6017493,FALSE
The app keeps crashing. I can't upload photos because of this. Please fix the problem.,"app crash while viewing photos, out of memory error",0.7309682,1,,,,,,,"Hello, Autoupload doesn't work. I manually created folder on the server using web browser, and checked in the app to create year folder and month. It gives ""connection error"" in uploads queue. So the app is almost useless for me",Fc app on selecting storage folder auto uploaded,0.6109036,0,,,,TRUE,0.6854156,Sentence MiniLM nouns & verbs,,,TRUE,0.7187669,TRUE,0.773231,,,TRUE,0.81269884,0.64254296,FALSE
The app keeps crashing. I can't upload photos because of this. Please fix the problem.,Android Mobile app crash in photos section,0.7263975,1,25,,,,,,First of all. thanks to all the devs for the app. im using the latest version but cant download files anymore using the app. works A1 on the web. im using 15.0.10. Nothing relevent in the logs. Only warning I have is about the fact that the server has no internet connection. thats a mistake. just downloaded stuff from it plus I can get a remote ssh connection to it. i can get my public ip and all... not sure how to debug this. thanks in advance for the help,Android app: Failed to download a file from server,0.6387133,1,,,,TRUE,0.739503,Sentence MiniLM nouns & verbs,,,TRUE,0.61009955,TRUE,0.577115,,,TRUE,0.773231,0.5396127,FALSE
"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.",Next cloud app crash,0.6634486,1,,,,,,,First of all. thanks to all the devs for the app. im using the latest version but cant download files anymore using the app. works A1 on the web. im using 15.0.10. Nothing relevent in the logs. Only warning I have is about the fact that the server has no internet connection. thats a mistake. just downloaded stuff from it plus I can get a remote ssh connection to it. i can get my public ip and all... not sure how to debug this. thanks in advance for the help,nextcloud android application crashed when downloading files from server,0.5401187,0,,,,TRUE,0.6878835,Sentence MiniLM nouns & verbs,,,TRUE,0.6095713,TRUE,0.57044744,,,TRUE,0.71427244,0.5387994,TRUE
"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.",Nextcloud app crash,0.6564607,1,,,,,,,"The Photos section shows ""loading"" for more than 5 minutes every single time i open it, while on the webinterface the pictures show immediately using the same internet connection. It then shows every photo two times, this also does not happen on the webinterface.  The ""all files"" section even managed to show a whole bunch of pics in the wrong folder (in the root folder while they should have been in a subfolder) once, prompting me to delete them. Later i noticed my desktop pc syncing those very same pictures, which this bug-ridden app had deleted from their subfolder, where they apparently had been all the time. Other sections like ""shared"" show an endless ""loading"" sometimes until i manually refresh them. Sometimes they happen to work instantly and then show ""loading"" for infinity when i refresh them. I have reinstalled the app several times. I will have to use the webinterface which works very fast and flawlessly on chrome and firefox mobile browsers.",Photos: weird loading,0.6245025,1,,,,TRUE,0.6020204,Sentence MiniLM nouns & verbs,,,TRUE,0.45938778,TRUE,0.55622053,,,TRUE,0.57044744,0.67615294,TRUE
"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.",Nextcloud App crashes on android,0.63834196,1,26,,,,,,"The Photos section shows ""loading"" for more than 5 minutes every single time i open it, while on the webinterface the pictures show immediately using the same internet connection. It then shows every photo two times, this also does not happen on the webinterface.  The ""all files"" section even managed to show a whole bunch of pics in the wrong folder (in the root folder while they should have been in a subfolder) once, prompting me to delete them. Later i noticed my desktop pc syncing those very same pictures, which this bug-ridden app had deleted from their subfolder, where they apparently had been all the time. Other sections like ""shared"" show an endless ""loading"" sometimes until i manually refresh them. Sometimes they happen to work instantly and then show ""loading"" for infinity when i refresh them. I have reinstalled the app several times. I will have to use the webinterface which works very fast and flawlessly on chrome and firefox mobile browsers.",3.0RC1: Favorites and Photos loading for ever,0.60223484,1,,,,TRUE,0.6413735,Sentence MiniLM nouns & verbs,,,TRUE,0.57725966,TRUE,0.46843576,,,TRUE,0.6915228,0.63744885,TRUE
"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",Auto Upload view shows files in Nextcloud temporary storage,0.5657696,0,,,,,,,"Good app, but instant upload reports failed because of connectivity issues (on wifi) .   Would report the issue but can not find your Bugzilla.  Keep up the great work.",instant upload fails,0.5397458,1,,,,TRUE,0.63403094,Sentence MiniLM nouns & verbs,,,TRUE,0.7353552,TRUE,0.729115,,,TRUE,0.7936404,0.636935,FALSE
"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",Upload not working with nextcloud in subdir,0.5575518,0,,,,,,,"Good app, but instant upload reports failed because of connectivity issues (on wifi) .   Would report the issue but can not find your Bugzilla.  Keep up the great work.",instant upload bug - no account,0.52400684,1,,,,TRUE,0.6436924,Sentence MiniLM nouns & verbs,,,TRUE,0.6279212,TRUE,0.6915228,,,TRUE,0.69447815,0.652619,FALSE
"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",setting up a newly detected folder for auto upload does not upload already existing pictures,0.55023897,0,27,,,,,,"Keeps forgetting the account data. Then tries to auto-upload and fails, but keeps trying, burning battery. Use the account service, for crying out loud.",Auto Upload stays active even after account removal on device,0.6130793,1,,,,TRUE,0.6372646,Sentence MiniLM nouns & verbs,,,TRUE,0.62410337,TRUE,0.7936404,,,TRUE,0.67647374,0.62998766,FALSE
Man I love nextcloud but good God this app sucks. Constant crashes clicking photos in the menu doesn't show photos instead its constantly loads or crashes. I'd be willing to pay a few dollars a year for some good work on this app. I think most people would agree. This app needs alot of work. Limited organization with only favorites working. No tags in this app. Don't expect a fun easy browsing experience here.,Nextcloud app broke when click Photo Album,0.5897689,1,,,,,,,"Keeps forgetting the account data. Then tries to auto-upload and fails, but keeps trying, burning battery. Use the account service, for crying out loud.",Client tries to auto upload after account has been deleted,0.6050016,1,,,,TRUE,0.68996704,Sentence MiniLM nouns & verbs,,,TRUE,0.59292877,TRUE,0.7232516,,,TRUE,0.66081685,0.62956524,FALSE
Man I love nextcloud but good God this app sucks. Constant crashes clicking photos in the menu doesn't show photos instead its constantly loads or crashes. I'd be willing to pay a few dollars a year for some good work on this app. I think most people would agree. This app needs alot of work. Limited organization with only favorites working. No tags in this app. Don't expect a fun easy browsing experience here.,Nextcloud app crash,0.57338774,1,,,,,,,"The app is very user friendly. However, it has some bugs. Auto Upload doesn't not work. Fails to upload any files from selected folder.",auto upload: files not visible within app before uploaded,0.6819926,0,,,,TRUE,0.7286235,Sentence MiniLM nouns & verbs,,,FALSE,0.5391481,TRUE,0.69447815,,,FALSE,0.65061235,0.6912117,TRUE
